name,year,adp,adpr,pos_rank,ppg,games,position
Dak Prescott,2020,,,31,27.1,5,QB
Marcus Mariota,2020,,,46,25.8,1,QB
Antonio Williams,2020,,,94,21.3,1,WR
Ezekiel Elliott,2017,,,9,20.3,10,RB
Keenan Allen,2015,,,47,20.2,8,WR
Chris Godwin,2024,,,56,19.7,7,WR
Julian Edelman,2015,,,38,19.2,9,WR
Arian Foster,2015,,,65,19.2,4,RB
Steve Smith Sr.,2015,,,51,18.7,7,WR
