Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Pau Gasol,10.4,2014-15,34,CHI,78,78,1,2681,570,1153,558,1127,12,26,294,366,220,699,919,210,25,147,158,147,1446,.494,.495,.462,.803,.550,.500,C-F,gasolpa01
2,Tyson Chandler,10.3,2014-15,32,DAL,75,75,0,2286,293,440,293,440,0,0,185,257,294,570,864,84,42,91,105,169,771,.666,.666,,.720,.697,.666,C,chandty01
3,Rudy Gobert,9.3,2014-15,22,UTA,82,37,0,2158,258,427,258,425,0,2,170,273,265,510,775,109,64,189,111,175,686,.604,.607,.000,.623,.627,.604,C,goberru01
4,Dirk Nowitzki,7.2,2014-15,36,DAL,77,77,1,2282,487,1062,383,788,104,274,255,289,44,413,457,143,39,33,82,160,1333,.459,.486,.380,.882,.560,.508,F-C,nowitdi01
5,Brook Lopez,7.0,2014-15,26,BRK,72,44,0,2100,506,987,505,977,1,10,223,274,214,321,535,50,43,126,104,206,1236,.513,.517,.100,.814,.558,.513,C,lopezbr01
6,Tyler Zeller,6.5,2014-15,25,BOS,82,59,0,1731,340,619,340,619,0,0,153,186,146,319,465,113,18,52,76,205,833,.549,.549,,.823,.594,.549,F-C,zellety01
7,Timofey Mozgov,5.7,2014-15,28,CLEDEN,81,80,0,2045,314,566,312,560,2,6,155,216,203,388,591,55,33,97,116,227,785,.555,.557,.333,.718,.594,.557,C,mozgoti01
8,Hassan Whiteside,5.3,2014-15,25,MIA,48,32,0,1142,243,387,243,387,0,0,78,156,145,337,482,6,27,123,58,129,564,.628,.628,,.500,.619,.628,C,whiteha01
9,Andrew Bogut,5.2,2014-15,30,GSW,67,65,0,1583,200,355,200,355,0,0,22,42,141,402,543,180,39,113,106,188,422,.563,.563,,.524,.565,.563,C,bogutan01
10,Robin Lopez,5.1,2014-15,26,POR,59,59,0,1638,234,437,234,436,0,1,98,127,190,204,394,55,16,84,73,122,566,.535,.537,.000,.772,.574,.535,C,lopezro01
11,Ömer Aşık,5.0,2014-15,28,NOP,76,76,0,1982,213,412,213,412,0,0,131,225,244,504,748,72,29,54,95,144,557,.517,.517,,.582,.545,.517,C,asikom01
12,Donatas Motiejūnas,4.7,2014-15,24,HOU,71,62,0,2037,353,700,304,567,49,133,100,166,137,284,421,130,56,34,123,203,855,.504,.536,.368,.602,.553,.539,F-C,motiedo01
13,Roy Hibbert,4.2,2014-15,28,IND,76,76,0,1926,317,710,317,708,0,2,168,204,156,384,540,84,18,125,107,216,802,.446,.448,.000,.824,.501,.446,C,hibbero01
14,Alex Len,3.4,2014-15,21,PHO,69,44,0,1518,179,353,178,350,1,3,73,104,142,312,454,32,34,105,74,213,432,.507,.509,.333,.702,.542,.508,C,lenal01
