Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
15,Kosta Koufos,3.3,2014-15,25,MEM,81,3,0,1348,182,358,182,358,0,0,55,85,121,305,426,37,29,63,69,148,419,.508,.508,,.647,.530,.508,C,koufoko01
16,Chris Kaman,3.3,2014-15,32,POR,74,13,0,1398,283,549,283,549,0,0,72,102,149,335,484,65,18,54,108,140,638,.515,.515,,.706,.537,.515,C,kamanch01
17,Alexis Ajinça,3.2,2014-15,26,NOP,68,8,0,957,181,329,181,329,0,0,81,99,104,211,315,47,21,51,69,151,443,.550,.550,,.818,.595,.550,C-F,ajincal01
18,Meyers Leonard,2.8,2014-15,22,POR,55,7,0,847,125,245,78,133,47,112,30,32,46,204,250,32,10,14,39,113,327,.510,.586,.420,.938,.631,.606,C-F,leoname01
19,Channing Frye,2.1,2014-15,31,ORL,75,51,0,1870,191,487,55,141,136,346,31,35,27,266,293,94,47,39,78,191,549,.392,.390,.393,.886,.546,.532,C-F,fryech01
20,Dewayne Dedmon,1.7,2014-15,25,ORL,59,15,0,845,91,162,91,161,0,1,34,64,118,177,295,9,16,50,51,141,216,.562,.565,.000,.531,.568,.562,C,dedmode01
21,Jusuf Nurkić,1.6,2014-15,20,DEN,62,27,0,1103,171,383,171,381,0,2,84,132,125,257,382,50,52,68,86,207,426,.446,.449,.000,.636,.483,.446,C,nurkiju01
22,Justin Hamilton,1.5,2014-15,24,MIAMIN,41,14,0,712,85,178,75,147,10,31,39,47,57,77,134,36,27,30,26,70,219,.478,.510,.323,.830,.551,.506,C,hamilju01
23,Jerome Jordan,1.2,2014-15,28,BRK,44,0,0,383,50,94,50,94,0,0,38,44,52,53,105,13,8,15,22,58,138,.532,.532,,.864,.609,.532,C,jordaje01
24,Jason Smith,1.2,2014-15,28,NYK,82,31,0,1785,257,592,242,550,15,42,127,153,98,226,324,140,32,44,104,205,656,.434,.440,.357,.830,.497,.447,F-C,smithja02
25,Spencer Hawes,1.2,2014-15,26,LAC,73,15,0,1274,163,415,108,239,55,176,44,68,30,228,258,88,24,53,61,173,425,.393,.452,.313,.647,.478,.459,C-F,hawessp01
26,Ryan Hollins,1.0,2014-15,30,SAC,46,9,0,441,53,82,53,82,0,0,31,54,36,67,103,14,6,19,25,65,137,.646,.646,,.574,.648,.646,C,holliry01
27,Andrea Bargnani,0.9,2014-15,29,NYK,29,22,0,785,164,361,149,320,15,41,87,107,32,95,127,46,2,27,42,53,430,.454,.466,.366,.813,.527,.475,F-C,bargnan01
28,Robert Sacre,0.8,2014-15,25,LAL,67,18,0,1133,126,306,126,305,0,1,55,82,89,144,233,55,28,43,36,121,307,.412,.413,.000,.671,.449,.412,C,sacrero01
29,Jeff Withey,0.8,2014-15,24,NOP,37,0,0,259,32,64,32,64,0,0,34,50,23,41,64,11,4,18,12,26,98,.500,.500,,.680,.570,.500,C,witheje01
30,JaVale McGee,0.4,2014-15,27,DENPHI,23,0,0,256,42,79,42,79,0,0,22,33,18,43,61,3,2,20,18,30,106,.532,.532,,.667,.567,.532,C,mcgeeja01
31,Ognjen Kuzmić,0.3,2014-15,24,GSW,16,0,0,72,8,12,8,12,0,0,4,4,7,10,17,6,2,1,5,13,20,.667,.667,,1.000,.727,.667,C,kuzmiog01
32,Sim Bhullar,0.0,2014-15,22,SAC,3,0,0,3,1,2,1,2,0,0,0,0,0,1,1,1,0,1,0,0,2,.500,.500,,,.500,.500,C,bhullsi01
33,Brendan Haywood,0.0,2014-15,35,CLE,22,1,0,119,14,30,14,30,0,0,7,13,6,23,29,2,2,10,10,17,35,.467,.467,,.538,.490,.467,C,haywobr01
34,Alex Kirk,0.0,2014-15,23,CLE,5,0,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,.250,.250,,1.000,.410,.250,C,kirkal01
35,Miroslav Raduljica,0.0,2014-15,27,MIN,5,0,0,23,3,8,3,8,0,0,2,2,2,3,5,0,1,0,2,8,8,.375,.375,,1.000,.450,.375,C,radulmi01
36,Earl Barron,0.0,2014-15,33,PHO,16,1,0,143,12,39,10,35,2,4,6,12,14,14,28,5,4,2,5,26,32,.308,.286,.500,.500,.361,.333,C,barroea01
37,Lucas Nogueira,0.0,2014-15,22,TOR,6,0,0,23,2,8,2,8,0,0,2,4,2,9,11,1,2,0,2,6,6,.250,.250,,.500,.307,.250,C,noguelu01
