Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
32,Felton Spencer,0.4,2000-01,33,NYK,18,0,0,113,12,20,12,20,0,0,15,25,16,19,35,2,2,2,11,24,39,.600,.600,,.600,.629,.600,C,spencfe01
33,Duane Causwell,0.0,2000-01,32,MIA,31,14,0,384,32,85,32,85,0,0,12,25,23,60,83,5,8,18,23,67,76,.376,.376,,.480,.396,.376,C,causwdu01
34,Soumaila Samake,0.1,2000-01,22,NJN,34,0,0,226,18,48,18,48,0,0,10,24,22,31,53,1,2,14,4,23,46,.375,.375,,.417,.393,.375,C,samakso01
35,Luc Longley,0.0,2000-01,32,NYK,25,2,0,301,18,54,18,54,0,0,13,17,26,40,66,7,3,9,22,51,49,.333,.333,,.765,.399,.333,C,longllu01
36,Jim McIlvaine,0.1,2000-01,28,NJN,18,3,0,193,10,28,10,28,0,0,8,12,8,27,35,4,7,15,9,35,28,.357,.357,,.667,.421,.357,C,mcilvji01
37,Joel Przybilla,0.1,2000-01,21,MIL,33,13,0,270,12,35,12,35,0,0,3,11,29,42,71,2,3,30,13,56,27,.343,.343,,.273,.339,.343,C,przybjo01
38,Dan McClintock,0.0,2000-01,23,DEN,6,1,0,58,9,18,9,18,0,0,0,5,10,7,17,1,0,2,3,11,18,.500,.500,,.000,.446,.500,C,mcclida01
39,Will Perdue,0.3,2000-01,35,POR,13,0,0,58,6,9,6,9,0,0,2,4,6,12,18,2,3,2,0,8,14,.667,.667,,.500,.651,.667,C,perduwi01
40,Mamadou N'Diaye,0.0,2000-01,25,TOR,3,0,0,10,1,4,1,4,0,0,2,2,1,1,2,0,0,0,0,3,4,.250,.250,,1.000,.410,.250,C,ndiayma02
41,Garth Joseph,-0.1,2000-01,27,DENTOR,4,0,0,16,1,5,1,5,0,0,0,2,2,0,2,1,0,1,2,1,2,.200,.200,,.000,.170,.200,C,josepga01
42,John Coker,-0.1,2000-01,29,GSW,6,0,0,32,1,8,1,8,0,0,0,0,3,2,5,2,1,0,2,4,2,.125,.125,,,.125,.125,C,cokerjo01
