Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
17,Lauri Markkanen,2.7,2018-19,21,CHI,52,51,0,1682,342,795,222,463,120,332,170,195,74,396,470,75,37,33,85,122,974,.430,.479,.361,.872,.553,.506,F-C,markkla01
18,Robin Lopez,2.7,2018-19,30,CHI,74,36,0,1606,304,535,297,504,7,31,89,123,140,146,286,89,11,78,96,124,704,.568,.589,.226,.724,.598,.575,C,lopezro01
19,Tyson Chandler,2.1,2018-19,36,LALPHO,55,6,0,875,61,99,61,98,0,1,51,87,92,215,307,37,21,23,42,110,173,.616,.622,.000,.586,.630,.616,C,chandty01
20,Thon Maker,2.0,2018-19,21,DETMIL,64,5,0,972,109,268,60,115,49,153,56,84,41,161,202,45,21,51,33,105,323,.407,.522,.320,.667,.530,.498,F-C,makerth01
21,Frank Kaminsky,1.8,2018-19,25,CHO,47,0,0,755,138,298,88,159,50,139,79,107,39,124,163,63,12,12,41,68,405,.463,.553,.360,.738,.587,.547,F-C,kaminfr01
22,Mo Bamba,1.7,2018-19,20,ORL,47,1,0,766,117,243,96,173,21,70,37,63,64,169,233,39,13,64,43,102,292,.481,.555,.300,.587,.539,.525,C,bambamo01
23,Luke Kornet,1.4,2018-19,23,NYK,46,18,0,784,107,283,37,90,70,193,38,46,28,107,135,54,27,42,25,41,322,.378,.411,.363,.826,.531,.502,C-F,kornelu01
24,Salah Mejri,1.1,2018-19,32,DAL,36,4,0,399,55,112,44,78,11,34,20,32,36,95,131,35,10,26,21,55,141,.491,.564,.324,.625,.559,.540,C,mejrisa01
25,Pau Gasol,1.1,2018-19,38,MILSAS,30,6,0,360,42,94,36,81,6,13,28,40,22,115,137,52,5,15,16,29,118,.447,.444,.462,.700,.529,.479,C-F,gasolpa01
26,Kosta Koufos,0.7,2018-19,29,SAC,42,1,0,502,73,153,73,153,0,0,10,24,52,125,177,36,15,18,27,68,156,.477,.477,,.417,.477,.477,C,koufoko01
27,Isaiah Hartenstein,0.5,2018-19,20,HOU,28,0,0,221,20,41,18,35,2,6,11,14,21,26,47,15,7,12,13,56,53,.488,.514,.333,.786,.562,.512,F,harteis01
28,Dragan Bender,0.5,2018-19,21,PHO,46,27,0,826,88,197,66,96,22,101,32,54,34,149,183,56,18,22,37,90,230,.447,.688,.218,.593,.521,.503,F,bendedr01
29,Tyler Zeller,0.3,2018-19,29,ATLMEM,6,1,0,93,16,30,16,29,0,1,14,18,11,13,24,4,1,3,4,20,46,.533,.552,.000,.778,.607,.533,F-C,zellety01
30,Andrew Bogut,0.3,2018-19,34,GSW,11,5,0,134,18,36,18,36,0,0,3,3,12,43,55,11,3,8,8,22,39,.500,.500,,1.000,.523,.500,C,bogutan01
31,Dirk Nowitzki,0.3,2018-19,40,DAL,51,20,1,795,135,376,71,171,64,205,39,50,5,153,158,35,9,18,18,76,373,.359,.415,.312,.780,.469,.444,F-C,nowitdi01
32,Jason Smith,0.2,2018-19,32,MILNOPWAS,20,1,0,190,21,59,12,33,9,26,14,16,16,36,52,14,3,7,13,30,65,.356,.364,.346,.875,.492,.432,F-C,smithja02
33,Thomas Welsh,0.1,2018-19,22,DEN,11,0,0,36,7,13,4,6,3,7,1,2,0,4,4,5,0,0,1,3,18,.538,.667,.429,.500,.648,.654,C,welshth01
34,Channing Frye,0.1,2018-19,35,CLE,36,6,0,341,43,117,11,38,32,79,11,14,4,48,52,20,6,5,13,44,129,.368,.289,.405,.786,.524,.504,C-F,fryech01
35,Zhou Qi,0.0,2018-19,23,HOU,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.000,1.000,,,1.000,1.000,F-C,qizh01
36,Isaac Humphries,-0.1,2018-19,21,ATL,5,1,0,56,6,21,3,10,3,11,0,0,4,7,11,0,1,0,0,7,15,.286,.300,.273,,.357,.357,C,humphis01
37,Donatas Motiejūnas,-0.1,2018-19,28,SAS,3,0,0,13,3,6,3,6,0,0,0,2,2,1,3,1,0,1,3,6,6,.500,.500,,.000,.436,.500,F-C,mo
