Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Rudy Gobert,14.4,2018-19,26,UTA,81,80,0,2577,476,712,476,712,0,0,332,522,309,732,1041,161,66,187,130,231,1284,.669,.669,,.636,.682,.669,C,goberru01
2,Karl-Anthony Towns,10.4,2018-19,23,MIN,77,77,1,2545,681,1314,539,959,142,355,376,450,263,691,954,259,67,125,240,292,1880,.518,.562,.400,.836,.622,.572,C-F,townska01
3,Joel Embiid,8.7,2018-19,24,PHI,64,64,1,2154,580,1199,501,936,79,263,522,649,160,711,871,234,46,122,226,211,1761,.484,.535,.300,.804,.593,.517,C,embiijo01
4,Jusuf Nurkić,7.8,2018-19,24,POR,72,72,0,1974,420,826,417,797,3,29,282,365,243,505,748,233,71,103,168,250,1125,.508,.523,.103,.773,.570,.510,C,nurkiju01
5,Willie Cauley-Stein,6.7,2018-19,25,SAC,81,81,0,2213,412,741,411,739,1,2,140,254,181,497,678,194,96,51,84,227,965,.556,.556,.500,.551,.566,.557,F-C,caulewi01
6,Brook Lopez,6.7,2018-19,30,MIL,81,81,0,2322,355,786,168,274,187,512,112,133,33,363,396,98,51,179,82,189,1009,.452,.613,.365,.842,.597,.571,C,lopezbr01
7,Hassan Whiteside,6.3,2018-19,29,MIA,72,53,0,1674,388,680,386,664,2,16,109,243,257,560,817,56,46,136,97,192,887,.571,.581,.125,.449,.564,.572,C,whiteha01
8,Mitchell Robinson,6.1,2018-19,20,NYK,66,19,0,1360,202,291,202,291,0,0,81,135,177,246,423,37,52,161,35,217,485,.694,.694,,.600,.692,.694,C,robinmi01
9,JaVale McGee,5.9,2018-19,31,LAL,75,62,0,1671,400,641,399,629,1,12,96,152,195,371,566,52,47,148,108,208,897,.624,.634,.083,.632,.634,.625,C,mcgeeja01
10,Deandre Ayton,5.8,2018-19,20,PHO,71,70,0,2183,509,870,509,866,0,4,141,189,223,506,729,125,61,67,126,209,1159,.585,.588,.000,.746,.608,.585,C,aytonde01
11,Jakob Poeltl,5.1,2018-19,23,SAS,77,24,0,1273,187,290,187,290,0,0,49,92,178,232,410,93,29,68,48,124,423,.645,.645,,.533,.640,.645,C,poeltja01
12,Dewayne Dedmon,4.0,2018-19,29,ATL,64,52,0,1609,259,526,176,309,83,217,92,113,105,375,480,90,69,71,84,214,693,.492,.570,.382,.814,.602,.571,C,dedmode01
13,Ivica Zubac,3.2,2018-19,21,LACLAL,59,37,0,1040,212,379,212,379,0,0,101,126,115,247,362,63,14,51,70,137,525,.559,.559,,.802,.604,.559,C,zubaciv01
14,Alex Len,3.2,2018-19,25,ATL,77,31,0,1544,320,648,246,444,74,204,140,216,158,266,424,86,27,69,97,200,854,.494,.554,.363,.648,.575,.551,C,lenal01
15,Boban Marjanović,3.0,2018-19,30,LACPHI,58,12,0,681,160,260,156,250,4,10,98,131,87,178,265,54,16,27,59,90,422,.615,.624,.400,.748,.664,.623,C,marjabo01
16,Meyers Leonard,3.0,2018-19,26,POR,61,2,0,878,132,242,82,131,50,111,43,51,49,184,233,75,13,9,43,105,357,.545,.626,.450,.843,.675,.649,C-F,leoname01
