Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
23,Aaron Gray,0.9,2009-10,25,CHINOH,32,0,0,311,42,82,42,82,0,0,20,28,45,61,106,22,9,11,18,54,104,.512,.512,,.714,.551,.512,C,grayaa01
24,Johan Petro,0.8,2009-10,24,DEN,36,16,0,436,54,101,54,100,0,1,14,21,32,97,129,14,10,13,23,80,122,.535,.540,.000,.667,.553,.535,C,petrojo01
25,Rasho Nesterović,0.8,2009-10,33,TOR,42,8,0,413,81,149,81,149,0,0,1,5,37,52,89,25,10,17,16,54,163,.544,.544,,.200,.539,.544,C,nestera01
26,Darko Miličić,0.7,2009-10,24,MINNYK,32,18,0,685,100,204,100,203,0,1,15,28,47,104,151,47,22,34,35,82,215,.490,.493,.000,.536,.497,.490,F-C,milicda01
27,Jason Smith,0.7,2009-10,23,PHI,56,2,0,658,75,174,65,145,10,29,29,42,54,81,135,33,21,28,35,110,189,.431,.448,.345,.690,.491,.460,F-C,smithja02
28,D.J. Mbenga,0.6,2009-10,29,LAL,49,2,0,355,48,103,48,103,0,0,9,19,32,55,87,8,5,29,15,54,105,.466,.466,,.474,.471,.466,C,mbengdj01
29,Mikki Moore,0.6,2009-10,34,GSW,23,20,0,406,54,90,54,90,0,0,7,11,26,43,69,36,5,13,21,60,115,.600,.600,,.636,.606,.600,C-F,mooremi01
30,Kyrylo Fesenko,0.6,2009-10,23,UTA,49,5,0,408,52,95,52,94,0,1,24,57,33,57,90,15,6,19,24,78,128,.547,.553,.000,.421,.533,.547,C,fesenky01
31,Earl Barron,0.4,2009-10,28,NYK,7,6,0,232,30,68,30,68,0,0,22,29,31,46,77,8,4,4,11,24,82,.441,.441,,.759,.508,.441,C,barroea01
32,DeSagana Diop,0.4,2009-10,28,CHA,27,0,0,262,15,29,15,29,0,0,2,9,24,41,65,5,5,14,12,31,32,.517,.517,,.222,.485,.517,C,diopde01
33,Oleksiy Pecherov,0.1,2009-10,24,MIN,44,5,0,447,77,188,63,136,14,52,29,32,32,92,124,11,9,14,32,55,197,.410,.463,.269,.906,.487,.447,C,pecheol01
34,Steven Hunter,0.1,2009-10,28,MEM,21,0,0,158,17,43,17,43,0,0,19,36,18,24,42,0,1,10,9,10,53,.395,.395,,.528,.450,.395,C,huntest01
35,Kosta Koufos,0.0,2009-10,20,UTA,36,0,0,172,22,47,22,47,0,0,9,15,16,29,45,6,2,4,15,26,53,.468,.468,,.600,.494,.468,C,koufoko01
36,Francisco Elson,0.0,2009-10,33,MILPHI,12,0,0,66,5,15,5,15,0,0,2,5,6,8,14,2,1,0,1,7,12,.333,.333,,.400,.349,.333,C,elsonfr01
37,Alexis Ajinça,0.0,2009-10,21,CHA,6,0,0,30,5,10,5,10,0,0,0,1,1,3,4,0,1,1,2,5,10,.500,.500,,.000,.479,.500,C-F,ajincal01
38,Patrick O'Bryant,0.0,2009-10,23,TOR,11,0,0,51,8,15,8,14,0,1,3,6,2,9,11,1,2,4,5,12,19,.533,.571,.000,.500,.539,.533,C,obryapa01
39,Hamed Haddadi,0.0,2009-10,24,MEM,36,0,0,240,24,62,24,59,0,3,14,19,26,49,75,10,1,14,20,57,62,.387,.407,.000,.737,.441,.387,C,haddaha01
40,Primož Brezec,0.0,2009-10,30,MILPHI,21,0,0,95,9,26,9,26,0,0,1,6,12,13,25,1,1,3,2,19,19,.346,.346,,.167,.332,.346,C,brezepr01
41,Byron Mullens,-0.1,2009-10,20,OKC,13,0,0,54,7,19,7,19,0,0,0,0,3,7,10,1,2,0,4,13,14,.368,.368,,,.368,.368,C-F,mulleby01
42,Jason Collins,-0.1,2009-10,31,ATL,24,0,0,115,8,23,8,22,0,1,0,2,5,9,14,4,3,2,5,21,16,.348,.364,.000,.000,.335,.348,C,collija04
43,Eddy Curry,-0.3,2009-10,27,NYK,7,0,0,62,8,21,8,21,0,0,10,17,4,9,13,0,0,1,13,13,26,.381,.381,,.588,.456,.381,C,curryed01
