Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Dirk Nowitzki,12.3,2009-10,31,DAL,81,80,1,3039,720,1496,669,1375,51,121,536,586,80,540,620,218,70,79,149,208,2027,.481,.487,.421,.915,.578,.498,F-C,nowitdi01
2,Pau Gasol,11.0,2009-10,29,LAL,65,65,1,2403,452,844,452,839,0,5,286,362,243,491,734,218,37,113,143,152,1190,.536,.539,.000,.790,.593,.536,C-F,gasolpa01
3,Brook Lopez,7.9,2009-10,21,NJN,82,82,0,3027,563,1129,563,1127,0,2,416,509,270,439,709,187,55,139,204,251,1542,.499,.500,.000,.817,.570,.499,C,lopezbr01
4,Andrew Bynum,7.8,2009-10,22,LAL,65,65,0,1977,392,688,392,687,0,1,193,261,177,364,541,68,35,94,115,193,977,.570,.571,.000,.739,.608,.570,C,bynuman01
5,Andrew Bogut,7.5,2009-10,25,MIL,69,69,0,2229,473,910,473,908,0,2,149,237,208,493,701,127,39,175,131,222,1095,.520,.521,.000,.629,.540,.520,C,bogutan01
6,Brendan Haywood,6.7,2009-10,30,DALWAS,77,67,0,2355,276,491,276,490,0,1,152,245,278,437,715,43,26,158,99,209,704,.562,.563,.000,.620,.588,.562,C,haywobr01
7,Channing Frye,6.4,2009-10,26,PHO,81,41,0,2190,317,703,145,311,172,392,98,121,66,361,427,113,64,74,73,263,904,.451,.466,.439,.810,.598,.573,C-F,fryech01
8,Nenad Krstić,4.2,2009-10,26,OKC,76,76,0,1741,281,560,280,555,1,5,76,106,134,249,383,52,32,45,58,177,639,.502,.505,.200,.717,.527,.503,C,krstine01
9,Andrea Bargnani,4.2,2009-10,24,TOR,80,80,0,2799,537,1143,416,818,121,325,181,234,105,388,493,93,25,111,120,215,1376,.470,.509,.372,.774,.552,.523,F-C,bargnan01
10,Roy Hibbert,4.1,2009-10,23,IND,81,69,0,2035,387,782,384,776,3,6,169,224,177,287,464,158,30,131,145,285,946,.495,.495,.500,.754,.537,.497,C,hibbero01
11,Robin Lopez,3.2,2009-10,21,PHO,51,31,0,986,171,291,171,291,0,0,88,125,104,144,248,7,10,53,41,117,430,.588,.588,,.704,.621,.588,C,lopezro01
12,Shaquille O'Neal,3.1,2009-10,37,CLE,53,53,0,1240,262,463,262,462,0,1,112,226,93,262,355,80,15,62,105,169,636,.566,.567,.000,.496,.565,.566,C,onealsh01
13,Tyson Chandler,2.9,2009-10,27,CHA,51,27,0,1163,109,190,109,190,0,0,115,157,114,206,320,16,17,55,91,138,333,.574,.574,,.732,.643,.574,C,chandty01
14,Zydrunas Ilgauskas,2.5,2009-10,34,CLE,64,6,0,1339,194,438,183,415,11,23,75,101,114,231,345,48,14,50,63,183,474,.443,.441,.478,.743,.491,.455,C,ilgauzy01
15,Chris Kaman,2.4,2009-10,27,LAC,76,76,1,2608,589,1202,589,1196,0,6,230,307,184,520,704,120,37,94,223,213,1408,.490,.492,.000,.749,.527,.490,C,kamanch01
16,Greg Oden,2.2,2009-10,22,POR,21,21,0,502,92,152,92,152,0,0,49,64,64,114,178,19,8,48,39,84,233,.605,.605,,.766,.647,.605,C,odengr01
17,JaVale McGee,2.1,2009-10,22,WAS,60,19,0,968,156,307,156,306,0,1,74,116,88,155,243,14,16,101,51,122,386,.508,.510,.000,.638,.539,.508,C,mcgeeja01
18,Spencer Hawes,2.1,2009-10,21,SAC,72,59,0,1904,312,666,286,579,26,87,73,106,145,291,436,158,32,83,131,200,723,.468,.494,.299,.689,.507,.488,C-F,hawessp01
19,Hasheem Thabeet,2.0,2009-10,22,MEM,68,13,0,883,77,131,77,131,0,0,54,93,85,158,243,11,15,89,43,162,208,.588,.588,,.581,.605,.588,C,thabeha01
20,Joel Przybilla,1.4,2009-10,30,POR,30,9,0,681,45,86,45,86,0,0,33,51,72,166,238,8,8,43,39,95,123,.523,.523,,.647,.567,.523,C,przybjo01
21,Yi Jianlian,1.3,2009-10,22,NJN,52,51,0,1655,227,563,212,522,15,41,154,193,115,257,372,47,37,52,77,170,623,.403,.406,.366,.798,.481,.417,F,jianlyi01
22,Ryan Hollins,1.2,2009-10,25,MIN,73,27,0,1223,169,303,169,302,0,1,109,158,79,128,207,51,19,38,95,199,447,.558,.560,.000,.690,.600,.558,C,holliry01
